,state,acclength,areacode,interplan,vmailplan,vmailmess,daycalls,daycharge,evecalls,evecharge,nightcalls,nightcharge,intlmins,intlcalls,intlcharge,custservcalls,churn
60,GA,70,415,no,yes,24,101,42.42,98,22.07,68,10.02,9.8,4,2.65,1,no
61,TX,106,510,no,no,0,96,35.8,85,21.18,88,8.61,12.4,1,3.35,2,yes
62,VT,128,510,no,yes,29,104,30.48,86,19.2,78,14.54,8.6,7,2.32,0,no
63,WV,111,510,no,no,0,118,36.43,76,17.72,98,8.21,12.0,2,3.24,1,no
64,KY,74,415,no,yes,35,104,26.2,84,10.49,57,9.09,10.9,9,2.94,2,no
65,NJ,128,415,no,no,0,125,40.44,93,21.05,68,9.4,13.9,4,3.75,1,yes
66,DC,82,510,no,no,0,61,24.46,105,16.57,94,4.93,11.1,2,3.0,1,no
67,LA,155,415,no,no,0,100,34.58,104,16.23,119,8.82,8.9,4,2.4,0,yes
68,AR,80,415,no,no,0,100,21.13,107,14.71,62,11.39,7.9,9,2.13,1,no
69,ME,78,415,no,no,0,93,42.99,112,15.16,105,11.88,9.5,7,2.57,3,no
70,AK,104,408,no,no,0,106,47.33,113,6.89,137,7.34,9.8,5,2.65,1,no
71,MT,73,415,no,no,0,110,27.22,72,18.13,72,7.83,13.0,4,3.51,0,no
72,AZ,99,415,no,no,0,87,33.69,76,17.62,113,8.59,8.7,3,2.35,4,no
73,MS,120,408,no,no,0,131,36.06,104,17.8,96,7.52,5.3,5,1.43,1,yes
74,ID,77,415,no,no,0,72,42.81,126,17.48,109,12.38,9.8,7,2.65,2,yes
75,IA,98,510,no,yes,21,114,27.4,83,21.44,92,7.21,4.4,8,1.19,4,no
76,MA,108,415,no,no,0,137,30.31,76,16.07,102,5.81,14.6,5,3.94,0,no
77,VT,135,415,no,no,0,82,25.79,105,10.12,100,8.1,10.5,6,2.84,0,no
78,IN,122,408,no,no,0,94,28.99,109,14.76,75,11.19,11.3,2,3.05,1,no
79,AZ,95,408,no,no,0,65,40.48,98,15.91,115,8.55,11.8,4,3.19,4,no
80,MI,36,510,no,yes,29,102,47.84,76,17.19,113,8.42,9.0,6,2.43,2,no
81,NM,93,510,no,yes,21,131,20.04,115,13.98,86,9.76,9.8,3,2.65,1,no
82,CO,141,415,no,yes,32,91,25.26,97,11.14,142,9.87,10.1,1,2.73,1,no
83,UT,157,408,no,no,0,90,39.07,121,12.57,108,10.86,9.6,7,2.59,3,no
84,MI,120,408,no,no,0,100,28.05,83,26.96,86,5.36,8.3,8,2.24,1,no
85,MA,103,415,no,no,0,117,31.45,94,18.98,91,10.03,12.6,2,3.4,2,no
86,AL,98,408,no,no,0,117,27.37,113,16.23,113,10.25,12.1,4,3.27,4,no
87,DE,125,408,no,no,0,108,21.54,90,17.51,114,11.15,13.3,7,3.59,1,no
88,ME,36,510,yes,yes,42,89,33.46,122,21.67,126,6.22,20.0,6,5.4,0,yes
89,NJ,64,510,no,no,0,83,27.64,109,12.95,122,2.59,14.2,3,3.83,1,no
90,MO,112,510,no,yes,36,117,19.33,82,13.39,118,7.99,10.0,3,2.7,2,no
91,ID,97,408,no,no,0,125,40.77,111,18.26,81,6.45,8.7,5,2.35,2,no
92,NE,46,408,no,no,0,92,35.73,77,19.32,116,9.0,13.1,7,3.54,1,no
93,TX,41,408,no,yes,22,102,36.35,86,12.05,123,6.4,7.2,3,1.94,0,no
94,MS,193,415,no,no,0,124,29.05,95,11.25,89,5.08,11.6,3,3.13,1,no
95,NV,130,510,no,no,0,119,26.21,98,9.37,117,10.23,9.2,5,2.48,2,no
96,AZ,85,408,no,no,0,52,34.24,104,19.5,106,11.36,12.0,3,3.24,1,no
97,MS,162,415,no,no,0,108,12.02,87,13.39,82,6.97,9.1,3,2.46,4,yes
98,MS,61,510,no,yes,27,124,31.88,103,12.46,129,10.16,6.4,6,1.73,4,yes
99,TX,92,408,no,no,0,90,15.59,123,16.46,86,7.88,9.2,4,2.48,2,no
100,TX,82,408,no,no,0,96,34.05,102,17.1,60,9.27,7.1,1,1.92,4,no
101,AR,163,408,no,no,0,109,33.49,128,17.22,80,9.29,9.1,10,2.46,1,no
102,NY,75,415,no,yes,21,97,29.89,106,18.49,134,10.69,5.3,4,1.43,5,no
103,FL,91,510,no,no,0,106,34.53,113,17.86,129,8.8,12.0,3,3.24,3,no
104,AK,127,510,no,yes,36,117,31.14,76,10.78,71,11.85,11.2,8,3.02,1,no
105,NV,113,415,no,yes,23,101,34.85,60,12.92,59,7.14,10.2,5,2.75,2,no
106,DE,110,510,no,no,0,115,25.25,84,23.49,112,8.71,12.4,3,3.35,1,no
107,MD,120,415,no,yes,39,68,34.05,97,18.73,116,11.42,10.5,4,2.84,0,no
108,MI,157,415,no,yes,28,107,32.74,74,16.62,139,4.94,6.8,5,1.84,3,no
109,VT,103,510,no,no,0,47,41.91,84,16.62,96,9.02,11.7,4,3.16,1,no
110,VT,117,408,yes,no,0,86,28.41,87,15.09,132,11.22,14.1,7,3.81,2,yes
111,MI,140,415,no,no,0,101,39.42,94,13.61,98,4.97,14.3,6,3.86,3,no
112,WA,127,408,no,no,0,91,24.94,78,17.3,110,9.15,13.7,3,3.7,1,no
113,RI,145,408,no,yes,43,97,43.81,95,13.78,86,12.91,11.1,4,3.0,2,no
114,IA,113,408,no,no,0,99,32.95,125,18.82,67,7.75,10.6,6,2.86,1,no
115,NE,117,415,no,no,0,119,17.48,91,17.57,105,13.46,10.1,7,2.73,1,no
116,OH,65,408,no,no,0,116,31.94,117,13.4,86,10.23,7.5,6,2.03,1,no
117,RI,56,415,no,no,0,112,38.42,118,21.12,142,6.32,6.9,11,1.86,1,no
118,LA,151,408,no,no,0,116,30.38,138,24.83,101,11.97,9.8,4,2.65,0,no
119,VA,139,510,no,yes,23,129,26.79,96,21.0,112,11.66,13.7,2,3.7,0,no
120,SC,87,415,no,no,0,97,23.17,108,14.64,101,6.19,7.1,5,1.92,0,no
121,VA,141,415,no,no,0,110,36.91,111,20.53,103,11.41,12.0,6,3.24,0,no
122,IA,141,510,no,yes,36,99,31.88,116,20.52,105,10.33,10.5,5,2.84,3,no
123,MI,62,415,no,no,0,103,16.81,122,11.51,82,10.65,12.2,1,3.29,1,no
124,OK,146,415,no,no,0,151,35.07,89,12.63,91,7.52,6.1,3,1.65,1,no
125,DE,92,415,no,yes,33,92,41.33,92,18.17,104,10.29,12.1,2,3.27,2,no
126,DC,148,415,no,no,0,102,34.34,128,20.67,90,11.76,10.9,3,2.94,1,no
127,AZ,94,408,no,yes,38,124,28.92,116,16.43,73,4.77,12.8,4,3.46,1,no
128,AL,32,510,no,no,0,87,39.25,90,15.93,53,6.93,6.3,2,1.7,0,no
129,CO,68,408,no,no,0,105,40.31,105,19.0,79,4.38,13.2,2,3.56,1,no
130,NH,64,408,no,yes,27,91,30.96,98,14.42,86,7.41,10.6,5,2.86,2,no
131,NM,25,415,no,no,0,87,20.28,101,17.98,86,12.1,10.5,4,2.84,3,no
132,OR,65,415,no,no,0,87,19.86,93,15.21,150,8.21,14.1,2,3.81,1,no
133,NE,94,415,no,no,0,104,42.94,125,14.37,106,7.69,11.1,7,3.0,2,no
134,MN,62,415,no,no,0,91,25.01,107,16.18,115,8.78,12.2,3,3.29,0,no
135,MI,127,415,no,no,0,103,34.36,86,19.5,113,8.78,11.5,3,3.11,2,no
136,AR,116,408,no,no,0,93,29.5,76,16.5,112,9.36,16.2,10,4.37,3,no
137,WV,94,510,yes,yes,23,125,33.51,136,18.23,103,12.7,9.5,5,2.57,4,no
138,AK,126,415,no,no,0,94,9.89,118,11.79,91,6.16,11.9,1,3.21,5,yes
139,NY,67,408,no,yes,36,111,19.65,94,20.2,103,7.65,9.9,12,2.67,2,no
140,NH,19,408,no,no,0,98,31.64,57,21.62,127,9.63,14.6,7,3.94,2,no
141,VA,170,510,yes,no,0,68,44.18,122,20.83,121,6.05,8.4,3,2.27,3,no
142,NM,73,415,no,no,0,145,36.43,135,22.82,92,10.85,10.8,13,2.92,1,no
143,NY,106,408,no,no,0,74,26.98,139,5.47,103,8.93,10.2,4,2.75,1,no
144,AZ,93,415,no,no,0,71,46.17,108,19.5,121,3.48,10.9,3,2.94,2,no
145,WY,164,510,no,no,0,111,27.3,126,13.87,112,8.42,9.0,3,2.43,1,no
146,WA,51,408,no,no,0,109,39.51,95,15.93,107,10.4,9.1,3,2.46,1,no
147,CO,107,415,no,no,0,85,22.75,94,15.34,115,5.05,8.9,4,2.4,0,no
148,TX,130,415,no,no,0,109,30.07,104,7.71,69,10.71,9.5,2,2.57,1,no
149,KY,80,408,no,no,0,74,35.68,77,16.58,119,9.37,8.8,4,2.38,2,no
150,MT,94,415,no,no,0,118,23.38,88,17.27,131,6.75,13.4,2,3.62,0,no
151,OK,118,408,no,yes,23,52,49.22,111,14.16,88,5.36,9.5,4,2.57,1,no
152,MD,117,415,no,yes,23,86,33.68,86,15.05,92,8.12,6.8,6,1.84,1,no
153,TN,78,415,no,no,0,119,25.45,115,15.49,126,11.77,9.7,8,2.62,0,no
154,DC,63,408,no,no,0,64,14.11,106,15.05,89,11.06,13.0,3,3.51,0,no
155,MN,53,415,no,yes,24,146,24.77,136,18.74,96,11.25,13.1,5,3.54,3,no
156,MI,105,510,no,no,0,109,23.9,51,15.18,83,9.76,6.8,3,1.84,2,no
157,WA,157,415,no,no,0,105,25.96,80,21.89,93,8.91,9.4,4,2.54,1,no
158,MO,66,415,no,yes,36,76,18.14,77,17.83,117,8.57,12.1,2,3.27,1,no
159,IN,122,415,no,no,0,98,41.45,72,7.13,84,8.09,13.7,8,3.7,2,no
160,RI,99,510,no,no,0,112,36.92,89,20.97,89,10.17,15.8,7,4.27,3,no
161,AZ,144,510,yes,no,0,100,34.6,103,21.05,94,8.74,11.9,11,3.21,0,no
162,FL,70,510,yes,no,0,98,38.54,115,19.39,93,3.29,17.6,4,4.75,2,yes
163,LA,93,415,no,no,0,93,30.48,98,15.18,131,10.13,11.5,6,3.11,3,no
164,FL,93,415,no,no,0,89,25.74,76,15.84,120,7.76,10.9,3,2.94,0,no
165,FL,120,415,no,no,0,80,30.6,82,19.06,91,11.94,4.7,7,1.27,3,no
166,MD,136,415,no,no,0,121,42.53,118,22.7,114,6.8,13.0,2,3.51,1,yes
167,AL,106,415,no,no,0,121,37.91,98,9.36,107,8.49,7.1,12,1.92,0,no
168,WA,81,415,no,no,0,116,31.21,98,12.97,99,9.55,12.2,6,3.29,3,no
169,TN,127,408,no,yes,22,114,28.22,103,14.83,68,11.02,10.2,6,2.75,1,no
170,MS,65,415,no,no,0,112,23.14,96,23.2,104,9.91,4.4,2,1.19,1,no
171,ME,35,408,no,no,0,113,25.38,122,20.59,104,7.84,8.9,6,2.4,2,no
172,OK,88,408,no,no,0,97,11.12,76,14.3,113,10.62,13.8,1,3.73,2,no
173,IN,65,415,no,no,0,111,36.28,94,19.93,123,11.25,2.7,4,0.73,1,no
174,MO,123,415,no,no,0,85,35.17,78,20.8,136,9.97,7.7,2,2.08,3,no
175,IA,126,408,no,yes,27,78,31.65,83,16.12,139,3.44,9.6,3,2.59,2,no
176,VA,104,415,no,yes,23,136,47.63,92,18.74,102,6.16,13.3,3,3.59,4,no
177,KY,45,415,no,yes,22,84,33.42,92,26.62,108,7.35,11.9,3,3.21,0,no
178,OH,63,415,yes,yes,36,110,33.83,111,24.76,92,8.89,11.0,6,2.97,1,no
179,OK,100,415,no,no,0,96,34.53,126,18.45,122,8.14,13.5,2,3.65,3,no
180,NV,53,415,no,no,0,97,28.7,87,18.73,113,6.94,10.9,2,2.94,0,no
181,ID,92,415,yes,no,0,140,29.43,105,20.43,117,10.49,9.0,5,2.43,1,no
182,MN,139,510,no,no,0,106,22.85,98,17.96,125,8.71,10.2,2,2.75,5,yes
183,AL,73,415,no,no,0,86,32.67,116,14.33,87,6.29,9.4,6,2.54,1,no
184,NJ,138,510,no,no,0,89,37.43,125,7.51,79,8.79,12.9,5,3.48,0,no
185,NV,137,415,yes,no,0,95,22.97,102,11.4,81,10.04,12.3,2,3.32,2,yes
186,IN,36,415,no,no,0,77,43.08,151,15.5,103,12.41,8.4,2,2.27,1,no
187,WV,85,408,no,no,0,81,38.25,63,15.04,110,8.74,7.1,2,1.92,3,no
188,VA,108,408,no,no,0,99,33.75,60,22.76,75,15.97,9.4,3,2.54,0,yes
189,SC,22,408,no,no,0,107,18.75,93,14.15,96,9.1,9.5,5,2.57,0,no
190,IN,51,510,no,no,0,94,36.52,58,12.72,66,12.75,10.2,5,2.75,0,no
191,OR,33,415,no,yes,29,99,26.76,80,10.02,79,12.56,13.9,11,3.75,4,yes
192,NJ,106,415,no,no,0,91,35.34,109,14.62,143,8.63,14.4,7,3.89,4,no
193,MS,82,408,no,no,0,90,35.19,83,19.8,108,7.76,9.1,8,2.46,3,no
194,MI,86,510,no,yes,41,101,20.23,134,19.55,58,10.66,9.5,3,2.57,0,no
195,TX,97,415,yes,no,0,117,24.43,82,23.21,81,8.02,10.9,3,2.94,0,no
196,FL,106,408,no,yes,32,126,28.2,93,18.4,86,7.79,14.1,8,3.81,4,no
197,DC,108,510,no,no,0,122,23.56,117,14.65,92,10.42,9.8,3,2.65,1,no
198,TX,114,415,no,no,0,118,14.4,86,21.24,95,8.7,14.5,8,3.92,1,no
199,KS,92,408,yes,no,0,111,10.64,126,15.35,80,9.98,10.4,2,2.81,1,yes
200,UT,59,510,no,no,0,79,26.38,123,20.0,80,7.62,8.7,4,2.35,1,no
201,IL,151,408,no,no,0,88,22.87,112,12.16,61,10.08,15.4,1,4.16,1,no
202,NM,117,415,no,no,0,103,24.36,108,17.96,96,8.33,11.5,3,3.11,1,no
203,SC,78,510,no,no,0,110,28.61,73,18.8,136,10.85,12.5,1,3.38,1,no
204,NC,155,408,no,no,0,55,44.61,113,16.54,85,6.59,8.3,6,2.24,2,no
205,WV,114,510,no,yes,30,79,35.05,91,22.1,83,13.12,11.4,6,3.08,1,no
206,NH,119,408,no,no,0,89,23.51,78,14.49,98,11.88,13.5,6,3.65,3,no
207,PA,101,415,no,no,0,105,35.12,117,19.12,100,11.25,14.6,3,3.94,0,no
208,OK,117,415,no,no,0,121,22.9,83,15.3,104,9.04,7.7,3,2.08,1,no
209,AL,49,415,no,yes,28,78,36.45,100,19.99,107,9.28,8.0,13,2.16,3,no
210,WY,139,415,no,no,0,104,32.78,96,19.92,101,9.14,13.0,3,3.51,3,no
211,PA,92,408,no,yes,28,90,25.69,79,16.56,114,10.76,10.0,3,2.7,1,no
212,WA,83,415,no,no,0,103,37.64,103,19.7,100,5.51,9.8,5,2.65,3,no
213,SD,144,408,no,yes,48,96,32.27,67,10.49,106,9.64,6.5,2,1.76,2,yes
214,AL,131,415,no,yes,25,85,32.76,105,19.2,59,11.44,10.9,6,2.94,2,no
215,VT,146,510,yes,no,0,135,34.75,90,18.62,114,10.02,10.5,6,2.84,3,no
216,MN,81,415,no,no,0,93,33.73,108,17.93,71,8.7,10.4,6,2.81,2,no
217,AK,48,415,no,yes,37,115,35.99,84,13.59,80,6.48,12.2,1,3.29,1,no
218,MI,86,415,no,yes,28,74,37.67,100,24.51,105,10.81,9.0,2,2.43,1,no
219,DE,71,415,no,no,0,108,33.64,109,15.43,56,12.66,6.7,5,1.81,3,no
220,SD,145,408,no,yes,24,90,25.08,108,14.93,102,11.34,15.6,3,4.21,2,no
221,MI,137,510,no,no,0,122,35.09,102,10.88,84,8.75,8.8,5,2.38,2,no
222,KS,137,408,no,no,0,88,35.0,86,17.79,84,13.05,14.5,4,3.92,2,no
223,AL,167,510,no,no,0,88,35.29,63,11.25,98,11.48,14.1,5,3.81,0,no
224,OK,89,510,no,no,0,95,51.66,114,22.18,89,14.04,5.3,3,1.43,1,yes
225,NE,132,510,no,no,0,110,16.92,80,10.97,124,5.63,9.7,3,2.62,0,no
226,WI,96,510,no,yes,18,86,29.36,113,11.34,70,11.68,9.8,3,2.65,1,no
227,IN,166,510,no,no,0,115,34.71,152,15.29,109,9.76,9.5,5,2.57,1,no
228,DC,74,415,no,no,0,83,14.57,67,21.05,85,6.41,10.1,5,2.73,2,no
229,ME,113,415,no,no,0,129,36.64,117,18.59,91,9.32,6.6,9,1.78,4,no
230,MN,94,415,no,no,0,98,30.86,88,16.99,114,12.95,6.6,5,1.78,1,no
231,MD,67,415,no,no,0,80,29.19,81,9.38,111,8.79,11.9,4,3.21,2,no
232,FL,127,415,no,no,0,106,45.32,168,22.51,119,9.32,5.9,2,1.59,1,yes
233,IA,158,415,no,no,0,106,26.86,114,24.86,89,10.85,9.1,4,2.46,1,no
234,AZ,136,510,no,no,0,117,15.64,77,21.56,90,9.63,10.3,10,2.78,1,no
235,MO,196,415,no,no,0,109,39.78,114,21.21,70,7.79,9.1,5,2.46,2,no
236,VT,113,415,no,no,0,111,46.26,118,22.82,105,9.62,8.5,10,2.3,1,yes
237,IN,122,408,no,no,0,99,50.39,89,18.26,107,6.03,11.4,3,3.08,4,yes
238,RI,112,510,no,no,0,101,33.05,82,16.18,107,8.25,11.4,2,3.08,0,no
239,VA,16,510,no,no,0,69,34.95,93,14.41,64,9.9,10.9,3,2.94,0,no
240,MA,73,408,no,no,0,136,16.0,122,23.83,77,9.23,9.8,4,2.65,0,no
241,ID,128,408,no,no,0,99,21.28,107,17.46,111,11.45,18.9,2,5.1,0,no
242,MA,39,408,no,no,0,158,10.27,120,26.03,46,5.58,12.4,3,3.35,1,no
243,RI,119,415,no,yes,29,66,20.03,114,21.83,76,6.64,7.6,3,2.05,3,no
244,ID,173,510,no,yes,21,96,39.51,118,18.01,102,12.29,5.0,5,1.35,3,no
245,SD,128,510,yes,yes,32,81,38.0,74,16.05,101,6.97,9.4,2,2.54,2,yes
246,VA,104,408,no,no,0,107,23.58,113,21.84,74,10.57,10.0,3,2.7,0,no
247,OR,148,415,no,no,0,134,14.67,92,20.96,91,11.32,11.3,4,3.05,1,no
248,VA,129,408,no,no,0,91,35.19,121,13.17,112,11.03,13.4,5,3.62,3,no
249,AL,121,408,no,yes,35,95,11.68,69,17.78,42,8.88,11.4,4,3.08,1,no
250,GA,143,408,no,yes,33,109,40.66,112,20.02,95,7.03,9.5,4,2.57,1,no
251,IA,76,510,no,no,0,130,33.71,86,18.45,96,8.48,12.5,3,3.38,0,no
252,AZ,158,510,no,no,0,97,34.88,77,20.45,108,3.59,14.4,12,3.89,0,no
253,FL,116,510,no,no,0,98,32.66,135,26.6,94,5.86,7.9,2,2.13,3,no
254,MT,54,415,no,no,0,83,46.34,74,21.14,111,8.88,9.5,2,2.57,1,yes
255,AL,86,415,no,no,0,121,21.81,93,16.75,152,6.23,12.2,5,3.29,7,yes
256,DE,108,510,no,no,0,99,28.83,87,22.45,78,9.28,9.3,4,2.51,0,no
257,MT,66,510,no,no,0,95,34.22,66,12.99,101,10.49,7.5,4,2.03,1,no
258,KY,151,408,no,yes,17,97,36.5,90,11.77,44,7.61,8.6,4,2.32,1,no
259,SC,99,510,no,no,0,70,28.76,77,23.08,104,7.66,10.6,2,2.86,0,no
260,WA,55,415,no,no,0,121,33.0,110,15.01,136,13.63,7.0,7,1.89,2,no
261,OR,77,510,no,no,0,104,39.75,94,22.65,104,9.57,7.6,3,2.05,2,no
262,AK,78,408,no,no,0,67,38.27,127,16.93,102,7.9,14.6,2,3.94,0,no
263,GA,89,415,no,no,0,63,36.21,71,15.01,126,11.82,9.1,1,2.46,1,yes
264,MN,101,415,no,no,0,115,31.26,101,21.75,145,12.38,10.8,11,2.92,1,no
265,IN,98,408,no,yes,21,98,10.98,86,14.97,84,11.02,0.0,0,0.0,2,no
266,SC,64,510,no,yes,37,92,26.28,103,7.09,99,7.47,13.3,3,3.59,1,no
267,WI,81,415,no,yes,33,117,27.47,90,10.46,101,11.76,12.2,5,3.29,1,no
268,AZ,83,415,no,yes,41,122,26.5,107,13.8,105,5.74,13.1,5,3.54,3,no
269,AK,59,510,no,no,0,104,31.03,95,17.4,100,10.35,11.3,8,3.05,4,no
270,AR,179,415,yes,yes,38,78,37.42,71,19.92,85,10.68,10.1,4,2.73,4,no
271,AR,79,408,no,no,0,112,25.87,132,15.06,87,4.34,5.3,3,1.43,1,no
272,AK,117,415,no,no,0,95,30.86,88,17.43,82,9.18,14.7,9,3.97,2,no
273,MS,64,408,yes,no,0,77,40.15,85,18.58,97,8.73,13.2,2,3.56,2,yes
274,ME,31,415,no,no,0,105,28.24,93,6.74,98,9.62,12.7,2,3.43,1,no
275,NM,122,408,no,yes,23,85,22.81,132,19.32,96,5.51,8.5,2,2.3,2,no
276,NE,37,408,yes,yes,39,122,25.45,75,17.94,90,5.14,9.2,4,2.48,1,no
277,CO,159,408,yes,no,0,53,43.71,127,26.54,82,8.24,8.8,6,2.38,1,yes
278,DE,148,415,no,no,0,83,21.15,81,15.27,99,11.39,11.3,6,3.05,0,no
279,MS,77,408,no,no,0,87,39.1,138,8.77,136,13.93,11.3,3,3.05,2,no
280,OK,194,408,no,no,0,88,27.59,118,18.16,81,8.64,10.9,2,2.94,0,no
281,NC,112,415,no,no,0,96,32.86,123,22.45,115,5.79,9.1,3,2.46,4,no
282,MD,45,415,no,no,0,127,13.29,108,21.54,100,11.48,18.0,3,4.86,1,no
283,MA,128,415,no,no,0,99,33.25,120,22.76,76,7.42,16.0,2,4.32,0,no
284,NM,56,408,no,no,0,110,33.49,102,18.94,91,10.14,10.6,6,2.86,2,no
285,CA,151,415,yes,no,0,57,37.06,88,9.72,95,12.11,12.4,1,3.35,0,yes
286,AZ,90,415,no,no,0,77,30.46,99,17.91,58,12.46,9.2,6,2.48,2,no
287,SD,87,415,no,yes,21,113,36.38,114,15.3,82,6.05,10.6,5,2.86,0,no
288,DC,138,415,no,no,0,87,28.99,116,10.05,111,8.46,11.2,7,3.02,2,no
289,ND,79,408,no,no,0,123,34.97,108,18.23,106,10.17,6.7,18,1.81,1,no
290,MO,95,415,yes,no,0,84,28.14,112,24.33,89,8.95,11.5,2,3.11,1,yes
